aa_eleicao,sq_eleicao_divulga,sg_uf,sg_ue,tp_prestador,cd_esfera_partidaria,ds_esfera_partidaria,nr_partido,sg_partido,sq_candidato,ds_cargo,nm_candidato,ds_situacao_candidatura,ds_situacao_totalizacao,vr_receita,vr_receita_rc_fundo_part,vr_receita_rc_fundo_camp,vr_receita_rc_outros,vr_receita_trf_fundo_part,vr_receita_trf_fundo_camp,vr_receita_trf_outros,dt_carga
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596194,Deputado Estadual,ALINE GISLAINE STROSCHEIN,Apto,Suplente,52429.48,0.0,0.0,0.0,0.0,52429.48,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610597,Deputado Estadual,ALISSON FERRONATO DOS SANTOS,Apto,Suplente,13558.68,0.0,0.0,0.0,0.0,13558.68,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601953,Deputado Estadual,ALOISIO TALSO CLASSMANN,Apto,Eleito por QP,506121.05,0.0,0.0,0.0,240000.0,266121.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596183,Deputado Estadual,ALVARO LUIZ PACHECO BECKER,Apto,Suplente,67087.19,0.0,0.0,0.0,0.0,67087.19,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601661,Deputado Estadual,ANA BEATRIZ OVIEDO OLIVEIRA,Apto,Suplente,25000.0,0.0,0.0,0.0,15000.0,10000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,18,REDE,210001598531,Deputado Estadual,ANA CRISTINA LONDE NOGUEIRA AGUIRRE,Apto,Suplente,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001724106,Deputado Estadual,ANA CRISTINA LUCKEMEYER DE QUADROS,Apto,Suplente,44440.0,0.0,0.0,0.0,0.0,44440.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620205,Deputado Estadual,ANA CRISTINA SOARES,Apto,Suplente,199588.21,0.0,0.0,0.0,0.0,199588.21,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596166,Deputado Estadual,ANA DENISE MAFALDA DUARTE,Apto,Suplente,50917.92,0.0,0.0,0.0,0.0,50917.92,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596151,Deputado Estadual,ANA FLAVIA DA SILVA CASTRO,Apto,Suplente,45252.67,0.0,0.0,0.0,0.0,45252.67,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610598,Deputado Estadual,ANA INES AFFONSO,Apto,Suplente,371957.0,0.0,0.0,0.0,1450.0,370507.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647973,Deputado Estadual,ANA LUIZA ZADUCHLIVER AITA,Apto,Suplente,83000.0,0.0,0.0,0.0,5000.0,78000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,51,PATRIOTA,210001611286,Deputado Estadual,ANA MARIA ANTUNES,Apto,Não eleito,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620203,Deputado Estadual,ANA MARIA DE ABREU TÓPPOR,Apto,Suplente,114808.21,0.0,0.0,0.0,0.0,114808.21,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696194,Deputado Estadual,ANA PAULA DE MORAES DE CASTILHOS,Apto,Suplente,181680.0,0.0,0.0,0.0,0.0,181680.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,16,PSTU,210001606117,Deputado Estadual,ANA RITA FREITAS DA SILVA,Apto,Não eleito,4910.0,0.0,0.0,0.0,0.0,4910.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647972,Deputado Estadual,ANA TÉRCIA LOPES RODRIGUES,Apto,Suplente,250000.0,0.0,0.0,0.0,0.0,250000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614126,Deputado Estadual,ANDRE MAXIMILIANO REISCHL MATZEMBACHER,Apto,Não eleito,12603.44,0.0,0.0,0.0,0.0,12603.44,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,51,PATRIOTA,210001611301,Deputado Estadual,ANDRESSA CRISTINA CARDOS,Apto,Não eleito,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,70,AVANTE,210001727928,Deputado Estadual,ANDRESSA PILAR MACHADO,Apto,Não eleito,65000.0,0.0,0.0,0.0,0.0,65000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614132,Deputado Estadual,ANDRIELY DE SOUZA MELLO,Apto,Não eleito,63208.6,0.0,0.0,0.0,0.0,63208.6,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,51,PATRIOTA,210001611302,Deputado Estadual,ANDRÉ DE CASTRO E SILVA PRETTO,Apto,Não eleito,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598519,Deputado Estadual,ANDRÉ NOGUEIRA,Apto,Suplente,28661.54,0.0,0.0,0.0,0.0,28661.54,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648935,Deputado Estadual,ANDRÉ OLIVEIRA MACHADO,Apto,Suplente,9802.48,0.0,0.0,0.0,4802.48,5000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598502,Deputado Estadual,ANDRÉ ROTA SENA,Apto,Suplente,90615.75,0.0,0.0,0.0,0.0,90615.75,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620202,Deputado Estadual,ANDRÉ WILLIANS SOUZA MARIANO,Apto,Suplente,45000.0,0.0,0.0,0.0,0.0,45000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,70,AVANTE,210001621484,Deputado Estadual,ANRAEL DO NASCIMENTO BETTONI,Apto,Não eleito,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614133,Deputado Estadual,ANSELMO CORTES DOS SANTOS,Apto,Não eleito,7091.72,0.0,0.0,0.0,0.0,7091.72,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647975,Deputado Estadual,ANTONIO CICERO DA SILVA,Apto,Suplente,52031.71,0.0,0.0,0.0,0.0,52031.71,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596180,Deputado Estadual,ANTONIO ELEMAR DE OLIVEIRA,Apto,Suplente,389297.31,0.0,0.0,0.0,0.0,389297.31,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,23,CIDADANIA,210001620236,Deputado Estadual,ANTONIO RAFAEL PEREIRA PINTOS,Apto,Suplente,12098.62,0.0,0.0,0.0,0.0,12098.62,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610599,Deputado Estadual,ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,Apto,Eleito por QP,216892.0,0.0,0.0,0.0,0.0,216892.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696188,Deputado Estadual,ANTÔNIO CARLOS MACHADO,Apto,Suplente,7000.0,0.0,0.0,0.0,0.0,7000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648961,Deputado Estadual,APARECIDO MACEDO,Apto,Suplente,308314.74,0.0,0.0,0.0,1281.58,307033.16,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647974,Deputado Estadual,ARLINDO ANTONIO LOPES,Apto,Suplente,115000.0,0.0,0.0,0.0,0.0,115000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,11,PP,210001647152,Deputado Estadual,ARMANDO MANUEL GIULIAN MONIZ,Apto,Suplente,37204.42,0.0,0.0,0.0,0.0,37204.42,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696183,Deputado Estadual,ARTUR NAGEL HEINZ,Apto,Suplente,24860.0,0.0,0.0,0.0,0.0,24860.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601940,Deputado Estadual,BARBARA PENNA DE MORAES SOUZA,Apto,Suplente,390721.05,0.0,0.0,0.0,105000.0,285721.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,11,PP,210001647151,Deputado Estadual,BEATRIZ POGGETTI PICCOLI,Apto,Suplente,140000.0,0.0,0.0,0.0,0.0,140000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696207,Deputado Estadual,BENOREM PENTEADO FILHO,Apto,Suplente,24440.0,0.0,0.0,0.0,0.0,24440.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,51,PATRIOTA,210001611300,Deputado Estadual,BERGSON BRUNO MARQUES DE SÁ,Apto,Não eleito,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598520,Deputado Estadual,BETINA DIAS TORRIANI,Apto,Suplente,15538.48,0.0,0.0,0.0,0.0,15538.48,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601954,Deputado Estadual,BIANCA FEIJÓ DE SOUZA,Apto,Suplente,150000.0,0.0,0.0,0.0,36000.0,114000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,65,PC do B,210001610600,Deputado Estadual,BRUNA GUBIANI,Apto,Suplente,43930.0,0.0,0.0,0.0,0.0,43930.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601625,Deputado Estadual,BRUNA JEANINE MOLZ NOAL,Apto,Suplente,351973.19,0.0,0.0,0.0,1973.19,350000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,65,PC do B,210001610601,Deputado Estadual,BRUNA LIEGE DA SILVA RODRIGUES,Apto,Eleito por QP,440420.95,0.0,0.0,0.0,107000.0,333420.95,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614116,Deputado Estadual,BRUNA PAMELA DA SILVA SILVA,Apto,Não eleito,33636.1,0.0,0.0,0.0,0.0,33636.1,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,23,CIDADANIA,210001620199,Deputado Estadual,BRUNO CARRÃO DA SILVA,Apto,Suplente,12098.62,0.0,0.0,0.0,0.0,12098.62,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601955,Deputado Estadual,BRUNO EIZERIK,Apto,Suplente,30400.0,0.0,0.0,0.0,0.0,30400.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696178,Deputado Estadual,BRÁULIO SANTANA PEDROSO,Apto,Suplente,12640.0,0.0,0.0,0.0,0.0,12640.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601637,Deputado Estadual,CAMILA CAROLINA DE OLIVEIRA,Apto,Suplente,209000.0,0.0,0.0,0.0,0.0,209000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648936,Deputado Estadual,CAMILA XAVIER MESQUITA NUNES,Apto,Suplente,611571.14,0.0,0.0,0.0,556000.0,55571.14,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601943,Deputado Estadual,CAREN ROSANE CARVALHO KRAKHECKER,Apto,Suplente,39721.05,0.0,0.0,0.0,6000.0,33721.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601945,Deputado Estadual,CARINA ALONSO LOPES,Apto,Suplente,124721.05,0.0,0.0,0.0,49200.0,75521.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601626,Deputado Estadual,CARLA BEATRIZ LOPES BRUM,Apto,Suplente,90000.0,0.0,0.0,0.0,0.0,90000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601669,Deputado Estadual,CARLA ELIARA RODRIGUES MESKO,Apto,Suplente,70000.0,0.0,0.0,0.0,0.0,70000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649800,Deputado Estadual,CARLA ELISA DAL ZOTTO,Apto,Suplente,22750.0,0.0,0.0,0.0,0.0,22750.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,40,PSB,210001602915,Deputado Estadual,CARLA SIMONE JARDIM SARAIVA,Apto,Suplente,213000.0,0.0,0.0,0.0,0.0,213000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,27,DC,210001725325,Deputado Estadual,CARLOS ADAIR DE SOUZA MELLO,Apto,Não eleito,13000.0,0.0,0.0,0.0,0.0,13000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,28,PRTB,210001696836,Deputado Estadual,CARLOS ALAN ROSA DE CASTRO,Apto,Não eleito,20802.67,0.0,0.0,0.0,0.0,20802.67,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601941,Deputado Estadual,CARLOS ALBERTO NASCIMENTO DA CRUZ,Apto,Suplente,34721.05,0.0,0.0,0.0,20000.0,14721.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,12,PDT,210001621313,Deputado Estadual,CARLOS ALEXANDRE GONÇALVES,Apto,Suplente,65000.0,0.0,0.0,0.0,0.0,65000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647971,Deputado Estadual,CARLOS ANTÔNIO BÚRIGO,Apto,Suplente,325000.0,0.0,0.0,0.0,0.0,325000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648962,Deputado Estadual,CARLOS CLAIR RIBEIRO,Apto,Suplente,15571.19,0.0,0.0,0.0,11281.58,4289.61,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649799,Deputado Estadual,CARLOS EDUARDO BLUM,Apto,Suplente,5285.0,0.0,0.0,0.0,0.0,5285.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696164,Deputado Estadual,CARLOS RENATO BENTO OLIVEIRA JUNIOR,Apto,Suplente,45280.0,0.0,0.0,0.0,0.0,45280.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596184,Deputado Estadual,CARLOS ROBERTO DIAS ROQUE,Apto,Suplente,18605.55,0.0,0.0,0.0,0.0,18605.55,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596160,Deputado Estadual,CARLOS ROBERTO VIEIRA DA SILVA,Apto,Suplente,65978.95,0.0,0.0,0.0,0.0,65978.95,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,70,AVANTE,210001621486,Deputado Estadual,CARLOS VIANA DE FRAGA,Apto,Não eleito,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,27,DC,210001725324,Deputado Estadual,CASSIA FRANCINI ALONSO TEIXEIRA,Apto,Não eleito,2000.0,0.0,0.0,0.0,0.0,2000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601956,Deputado Estadual,CASSIANA BORGES VARIANI,Apto,Suplente,43721.05,0.0,0.0,0.0,10000.0,33721.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596178,Deputado Estadual,CASSIO NUNES DE AZEVEDO,Apto,Suplente,22283.05,0.0,0.0,0.0,0.0,22283.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,23,CIDADANIA,210001620185,Deputado Estadual,CATIA CRISTINA COLOMBO DE BORBA,Apto,Suplente,65956.3,0.0,0.0,0.0,0.0,65956.3,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614117,Deputado Estadual,CATIELE RIBEIRO FRANCO,Apto,Não eleito,35055.32,0.0,0.0,0.0,0.0,35055.32,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649798,Deputado Estadual,CELSIO HOLZ,Apto,Suplente,13058.0,0.0,0.0,0.0,0.0,13058.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598521,Deputado Estadual,CELSO ARLINDO GIESE,Apto,Suplente,18487.4,0.0,0.0,0.0,0.0,18487.4,0.0,2024-04-19 02:05:11
